pato_id	label	parent_pato_ids	parent_labels	temporary_flopo_id	examples
PATO:0104011	yellowish	PATO:0000324	yellow	FLOPO_0980094	Acacia seyal: yellowish peeling bark || Alyssum linifolium: tiny yellowish ovate flat fruits || Euphorbia hirta: yellowish flowers || Heliotropium rariflorum: very brittle yellowish stems
PATO:0104012	long narrow	PATO:0001154|PATO:0000599	elongated|decreased width	FLOPO_0980095	Acacia seyal: long narrow pods || Ammannia baccifera: usually alternate long narrow leaves || Cyamopsis senegalensis: long narrow leaflets || Erucastrum arabicum: long narrow fruits
PATO:0104013	greenish yellow	PATO:0000320|PATO:0000324	green|yellow	FLOPO_0980096	Anagyris foetida: greenish yellow flowers || Cadaba farinosa: greenish yellow flowers || Commiphora sp. nov. aff. myrrha: greenish yellow inside || Gypsophila aff. antari: greenish yellow flowers
PATO:0104014	pinkish	PATO:0000954	pink	FLOPO_0980097	Amaranthus graecizans: greenish or pinkish flowers || Dracaena serrulata: many tiny pinkish buds || Morettia canescens: pinkish flowers 2 cm wide || Phagnalon sp. aff. scalarum: pinkish flowers
PATO:0104015	creamy-white	PATO:0000323|PATO:0000324	white|yellow	FLOPO_0980098	Asystasia gangetica: creamy-white flowers 1.2 cm wide || Cordia sinensis: creamy-white flowers || Hippocrepis sp. aff. ciliata: creamy-white flowers || Hochstettera schimperi: creamy-white flowers
PATO:0104016	terete	PATO:0000052	shape	FLOPO_0980099	Cyperus conglomeratus: stiff terete leaves || Eleocharis marginulata: terete leaves || Eleocharis sp. aff. atropurpurea: terete leaves || Linaria haelava: terete leaves
PATO:0104017	purplish	PATO:0000951	purple	FLOPO_0980100	Allium pseudocalyptratum: small purplish flowers || Bupleurum gerardii: purplish fleshy flowers || Dodonaea viscosa: green and purplish flowers || Euphorbia inarticulata: small purplish erect fruits
PATO:0104018	pale greenish	PATO:0000320	green	FLOPO_0980101	An erect slender-stemmed branching leafy: pale greenish flowers || Cissus rotundifolius: pale greenish flowers || Dichrocephala chrysanthemifolia: pale greenish flowers || Pentatropis spiralis: pale greenish flowers
PATO:0104019	succulent	PATO:0002351	fleshy	FLOPO_0980102	Beta vulgaris: succulent stems || Nitraria retusa: cylindrical succulent red fruits || Suaeda aegyptiaca: small cylindrical succulent leaves || Suaeda pruinosa: succulent greenish flowers 2 mm wide
PATO:0104020	blue-green	PATO:0000318|PATO:0000320	blue|green	FLOPO_0980103	Ecbolium gymnostachyum: blue-green flowers 2 cm wide || Euphorbia retusa: blue-green leaves || Heliotropium curassavicum: blue-green glaucous leaves || Pancratium sickenbergeri: blue-green strapshaped leaves
PATO:0104021	pure white	PATO:0000323	white	FLOPO_0980104	Acacia abyssinica: pure white flowers || Barleria sp. aff. parviflora: pure white flowers || Crossandra wissmannii: opening pure white || Iris albicans: pure white flowers
PATO:0104022	scarlet	PATO:0000322	red	FLOPO_0980105	Indigofera hochstetteri: scarlet flowers || Indigofera sp. aff. trita: scarlet flowers || Lotus corniculatus: flushed with scarlet || Papaver dubium sensu lato: scarlet flowers 4 cm wide
PATO:0104023	crimson	PATO:0000322	red	FLOPO_0980106	Kalanchoe sp. aff. glaucescens: green leaves edged with crimson || Myrsine africana: tiny crowded crimson bud-like flowers 1 mm wide || Salsola volkensii: flowers reduced to crimson anthers || Tapinanthus globiferus: aging crimson
PATO:0104024	palmate	PATO:0000052	shape	FLOPO_0980107	Althaea ludwigii: deeply lobed palmate leaves || Cienfuegosia welshii: dark green palmate leaves || Corallocarpus epigeus: deeply lobed palmate leaves || Croton lobatus: large deeply lobed palmate leaves
PATO:0104025	deep rosy-lilac	PATO:0001943|PATO:0001425|PATO:0000954|PATO:0000322	lilac|rosy|pink|red	FLOPO_0980108	An erect herb branching from the base with: deep rosy-lilac flowers || Endostemon gracile: deep rosy-lilac flowers || Endostemon tenuiflorus: deep rosy-lilac flowers || Fagonia glutinosa: deep rosy-lilac flowers
PATO:0104026	bright scarlet	PATO:0000322	red	FLOPO_0980109	An erect woody shrublet: bright scarlet fruits || Euphorbia sp. aff. ammak: bright scarlet fruits || Indigofera arabica: bright scarlet flowers || Plicosepalus acaciae: aging bright scarlet
PATO:0104027	flushed with pink	PATO:0000954	pink	FLOPO_0980110	Astragalus spinosus: occasionally flushed with pink || Convolvulus arvensis: flushed with pink || Jasminum grandiflorum var. floribundum: flushed with pink behind the petals || Lonicera etrusca: flushed with pink
PATO:0104028	deep lilac	PATO:0001943	lilac	FLOPO_0980111	Astragalus vogelii: deep lilac flowers || Cakile arabica: deep lilac flowers || Horwoodia dicksoniae: deep lilac flowers wide || Lavandula dentata: deep lilac bracts
PATO:0104029	bluish	PATO:0000318	blue	FLOPO_0980112	Chrozophora tinctoria: bluish leaves || Hochstettera schimperi: prominent bluish stamens || Macrotyloma axillare var. axillare: standard with a bluish blotch || Nitraria retusa: leathery bluish leaves
PATO:0104030	lilac-blue	PATO:0001943|PATO:0000318	lilac|blue	FLOPO_0980113	Echium longifolium: age lilac-blue || Ixiolirion tataricum: tubular lilac-blue flowers || Nepeta deflersiana: lilac-blue flowers || Plectranthus tenuiflorus: lilac-blue flowers
PATO:0104031	cream	PATO:0000323|PATO:0000324	white|yellow	FLOPO_0980114	Acacia asak: white, cream, or yellow flowers || Ceropegia superba: corolla cream || Daphne linearifolia: cream or white flowers || Prosopis farcta: cream flowers
